,cycle,max_distemp,max_chtemp,capacity,dis_time,chr_time,Discharge_voltage,Discharge_current,Discharge_min_Threshold_voltage_time,Charging_max_Threshold_voltage_time,soh,RUL
0,1,13.880080551261507,9.32513759558831,1.7282392323598248,107.26901666666666,180.05521666666667,2.5,1,6436.141,1427.625,1.0,71
1,2,12.941526372487642,12.346119770451757,1.5161488467923143,94.17108333333334,180.03463333333323,2.5,1,5650.265,1351.484,0.8772794983493625,70
2,3,13.359691095670462,11.59806658239694,1.503121190703977,93.18178333333334,180.12813333333332,2.5,1,5590.907,1304.875,0.869741389131376,69
3,4,12.683911154117249,12.092568670781334,1.48586566102824,92.39349999999999,180.09478333333334,2.5,1,5543.61,1220.953,0.8597569324932892,68
4,5,13.065399804685724,12.490739095130257,1.4694562316392716,91.65076666666667,180.06796666666665,2.5,1,5499.046,1202.719,0.8502620494460146,67
5,6,12.802479603911387,9.465933254374386,1.4589554592644807,91.02031666666667,180.08281666666664,2.5,1,5461.219,1137.188,0.8441860547699461,66
6,7,13.585554405586658,9.459976311030434,1.4556853555098295,90.85468333333333,180.13958333333332,2.5,1,5451.281,1177.89,0.8422938955749566,65
7,8,13.94301293338268,13.403263929675719,1.456232262380321,91.13436666666666,180.07083333333333,2.5,1,5468.062,1178.937,0.8426103487952349,64
8,9,13.134169173843693,12.57281963998543,1.4440592236675138,90.18828333333333,180.04010000000005,2.5,1,5411.297,1087.078,0.8355667413565903,63
9,10,14.086951683642923,13.556085797321904,1.428294264765868,89.49505,180.05338333333333,2.5,1,5369.703,1121.125,0.8264447641404387,62
10,11,13.314723048488913,12.745904862879247,1.4199848948034668,88.7901,180.10131666666666,2.5,1,5327.406,1051.907,0.821636766609301,61
11,12,14.173291675329546,9.083417538983161,1.4043226018516568,88.32109999999999,180.06068333333332,2.5,1,5299.266,916.844,0.812574194334267,60
12,13,13.959348125513564,9.361701357449405,1.4234351301615986,89.45286666666667,180.08541666666667,2.5,1,5367.172,1063.968,0.8236331542005146,59
13,14,13.523198161538613,12.962013891216712,1.4339948857967295,90.11353333333334,180.10338333333323,2.5,1,5406.812,1065.968,0.8297432779828061,58
14,15,13.750234723504356,13.216505813006908,1.4185177047756572,89.21823333333333,180.11693333333332,2.5,1,5353.094,1022.328,0.820787815838865,57
15,16,13.400973711086477,12.84746399497611,1.4056313337829422,88.00051666666667,180.05755,2.5,1,5280.031,1003.484,0.8133314575110198,56
16,17,13.648707282364962,13.087946324694633,1.3890214025155618,87.47655,180.1302,2.5,1,5248.593,953.375,0.8037205593457811,55
17,18,13.959820884900516,9.109898329219815,1.3723339082737365,86.72291666666666,180.0836,2.5,1,5203.375,847.703,0.7940647814133248,54
18,19,14.349640095291218,13.809800479071026,1.3615778905990565,86.11353333333334,180.09635000000006,2.5,1,5166.812,912.609,0.7878410957838803,53
20,21,13.720010432160603,13.222932293469412,1.4100282016237429,89.00468333333333,180.14688333333334,2.5,1,5340.281,308.188,0.8158755889937873,51
21,22,14.214578668306734,13.66317791203664,1.3395671374926488,85.05,180.08046666666667,2.5,1,5103.0,891.844,0.7751051546628394,50
22,23,13.7206185074268,9.191051374384664,1.3291515487117478,84.1862,180.13931666666667,2.5,1,5051.172,854.5,0.7690784492242184,49
23,24,14.307049577086083,13.65870050381003,1.3181687033905718,83.79271666666666,180.14583333333334,2.5,1,5027.563,697.718,0.7627235157662043,48
24,25,13.73206507015365,13.167646858022986,1.312423708466101,83.22941666666667,180.14166666666668,2.5,1,4993.765,787.015,0.7593993261419322,47
25,26,14.550153842364988,14.044734566367385,1.2993237532162487,82.70781666666667,180.14635,2.5,1,4962.469,855.875,0.751819382923096,46
26,27,14.437029519118854,13.917603978270249,1.2877483042174591,81.79765,180.07838333333333,2.5,1,4907.859,805.125,0.7451215549939245,45
27,28,14.364000921258654,9.1561080808182,1.2865282739749122,81.4776,180.07943333333333,2.5,1,4888.656,769.422,0.744415616707313,44
28,29,14.693349843683665,14.124511703888349,1.2719636386987183,81.10416666666667,180.04401666666672,2.5,1,4866.25,497.594,0.7359881750641172,43
29,30,14.058016587648103,12.592602688923204,1.2714495345417192,80.60208333333334,180.03358333333333,2.5,1,4836.125,762.047,0.7356907022678904,42
30,31,13.779152574880365,13.271242109383456,1.2615423884659074,80.02475,180.1375,2.5,1,4801.485,765.187,0.7299581937758316,41
31,32,14.383739114376208,13.879267261448385,1.2421201619204132,79.34896666666667,180.05311666666665,2.5,1,4760.938,759.484,0.7187200352027421,40
32,33,14.589504036127655,8.961573455880472,1.2402537441669796,79.01511666666667,180.07215,2.5,1,4740.907,718.172,0.7176400818499385,39
33,34,13.891154624298235,9.235381386461205,1.2851130012242886,81.90886666666667,180.03593333333336,2.5,1,4914.532,432.969,0.7435967064985156,38
34,35,14.673096336965486,12.768858904952618,1.3043327841699193,83.31093333333334,180.07786666666678,2.5,1,4998.656,754.25,0.7547177264277919,37
35,36,13.896967367053858,13.370990004319781,1.2778639041619957,81.50025000000001,180.11145,2.5,1,4890.015,873.828,0.7394022078859627,36
36,37,13.908543615362126,13.139485790529518,1.2723464591651539,80.70183333333333,180.06978333333333,2.5,1,4842.11,812.203,0.7362096840191668,35
37,38,14.617560660341365,14.207971178409403,1.2477883952768762,79.97135,180.07838333333333,2.5,1,4798.281,781.89,0.7219998087724714,34
38,39,14.288124170416687,8.935870973704901,1.2352499196655526,78.98646666666667,180.09323333333333,2.5,1,4739.188,698.313,0.7147447509213642,33
39,40,14.875868929885128,14.402615524029677,1.229251291851949,78.88593333333333,180.06328333333343,2.5,1,4733.156,481.844,0.7112738033226265,32
40,41,13.880179808466218,12.908314636128306,1.223890910501634,77.84349999999999,180.11563333333334,2.5,1,4670.61,695.859,0.7081721601878415,31
41,42,14.631961684725407,14.096794455486355,1.205423323571373,77.25,180.09973333333335,2.5,1,4635.0,681.172,0.6974863786221467,30
42,43,14.768164211079867,14.27836592296483,1.1957824090008151,76.931,180.08228333333332,2.5,1,4615.86,638.875,0.6919079179611226,29
43,44,15.037938036453403,8.827049914593319,1.1900729496698461,76.34583333333333,180.08203333333333,2.5,1,4580.75,642.75,0.6886042900697611,28
44,45,14.290141125898849,13.744651377939665,1.179201763233652,75.95676666666667,180.13465,2.5,1,4557.406,381.828,0.682313965077341,27
45,46,13.996450231420782,13.521354405833215,1.169504032514554,75.40053333333344,180.14035,2.5,1,4524.0320000000065,635.688,0.6767026292521171,26
46,47,14.935082428364883,13.118371272464127,1.16772376849918,75.04896666666667,180.1658833333333,2.5,1,4502.938,652.359,0.6756725264850695,25
47,48,14.99164974108056,14.502549026623463,1.1579256145829042,74.71823333333333,180.0539,2.5,1,4483.094,592.922,0.6700030834283367,24
48,49,14.811846373564524,8.533783890055396,1.1499812813376982,74.13933333333333,180.10548333333332,2.5,1,4448.36,550.281,0.6654063047553063,23
49,50,14.247555903096723,13.067735171405046,1.150285902223034,74.00885,180.08149999999998,2.5,1,4440.531,306.172,0.665582565587506,22
50,51,14.332240013732582,13.847530682607912,1.1349452274085248,73.60911666666667,180.12238333333323,2.5,1,4416.547,544.875,0.6567060891557319,21
51,52,14.276871638701772,12.922766299354484,1.1380960963513609,73.04895,180.16041666666666,2.5,1,4382.937,562.2339999999967,0.6585292562750975,20
52,53,13.777310967702926,13.42198851253176,1.123711172150547,72.45755000000001,180.08125,2.5,1,4347.453,524.625,0.6502057997006441,19
54,55,14.96165525093106,8.86703786132924,1.214119211354098,79.10833333333333,180.16693333333333,2.5,1,4746.5,518.625,0.7025180244845376,17
55,56,14.622124863653873,12.873064470501333,1.211944797522819,77.98593333333334,180.0547000000001,2.5,1,4679.156,169.64,0.7012598573335063,16
56,57,14.181162993443126,12.914378640441889,1.1971248679331923,76.60963333333333,180.14843333333334,2.5,1,4596.578,564.672,0.6926846963765414,15
57,58,13.989284902759552,13.560435846040848,1.1822892151870987,75.74401666666667,180.15625,2.5,1,4544.641,659.875,0.6841004376302356,14
58,59,15.042601535042603,14.50936386335481,1.1645336676778397,75.44896666666666,180.06563333333332,2.5,1,4526.938,612.625,0.6738266588750719,13
59,60,15.027421071078606,9.058792390700829,1.1535559567518647,74.79063333333333,180.03855000000001,2.5,1,4487.438,638.656,0.6674746962992741,12
60,61,14.577396723095212,8.906166673111327,1.1601987101282065,75.22186666666667,180.12526666666665,2.5,1,4513.312,599.782,0.6713183501476314,11
61,62,15.36587842843583,13.696298017692879,1.1711716308206082,76.14063333333334,180.0773333333333,2.5,1,4568.438,327.547,0.6776675409812515,10
62,63,15.29268403662172,13.627671981515773,1.1563410270783216,74.99426666666666,180.11823333333328,2.5,1,4499.656,378.656,0.6690862037076866,9
63,64,14.698902260428524,14.175755722127473,1.141082456193516,73.84973333333333,180.05391666666668,2.5,1,4430.984,614.218,0.660257234546993,8
64,65,15.066788669768552,14.561398475035936,1.1352383596118123,73.51901666666666,180.09088333333332,2.5,1,4411.141,576.188,0.6568757023654074,7
66,67,14.884443210062466,9.03319178162539,1.2530847858282803,81.38853333333333,180.11068333333333,2.5,1,4883.312,536.844,0.7250644253210565,5
67,68,14.454392118638458,13.574846790146097,1.2050453590356518,77.73178333333334,180.13281666666666,2.5,1,4663.907,548.765,0.6972676794231909,4
68,69,14.172939173239188,13.649783872807921,1.19119860196273,76.35546666666667,180.15989999999996,2.5,1,4581.328,95.172,0.6892556190477215,3
69,70,14.797843662102167,13.486366811933427,1.17463817374538,75.88385,180.06848333333335,2.5,1,4553.031,478.156,0.6796733645153222,2
70,71,14.86814851282613,14.316772010775503,1.1555432048235512,74.775,180.17239999999998,2.5,1,4486.5,677.735,0.6686245649253746,1
71,72,14.051631055988958,8.961521656486461,1.1538041170229467,74.17708333333333,180.14818333333332,2.5,1,4450.625,639.282,0.6676182876878015,0
